key,mean,ci_low,ci_high,mean_pp,low_pp,high_pp,classification,mean_descendant_difference
P_ZERO_Q_ZERO|F_BG_EFFECT_POP|U,2.8610229492186345e-05,-0.00025730609893799035,0.0002944151560465457,0.0028610229492186346,-0.025730609893799036,0.02944151560465457,unresolved,
P_ZERO_Q_ZERO|F_BG_EFFECT_POP|U40,-0.0011927286783854167,-0.0030188878377278646,0.0005650202433268205,-0.11927286783854167,-0.30188878377278644,0.056502024332682046,unresolved,
P_ZERO_Q_ZERO|H_BG_SWITCH_POP|U,0.6033041636149087,0.6026355886459349,0.6039954074223836,60.33041636149087,60.26355886459349,60.39954074223836,positive,
P_ZERO_Q_ZERO|H_BG_SWITCH_POP|U40,0.6029205322265625,0.5984786987304688,0.6073227564493815,60.29205322265625,59.847869873046875,60.73227564493815,positive,
P_ZERO_Q_ZERO|H_BG_STAY_POP|U,0.6030769348144531,0.6023537890116373,0.6038072554270425,60.30769348144531,60.23537890116373,60.38072554270425,positive,
P_ZERO_Q_ZERO|H_BG_STAY_POP|U40,0.605255126953125,0.5995527903238933,0.6113648732503255,60.5255126953125,59.95527903238933,61.136487325032554,positive,
P_ZERO_Q_ZERO|H_BG_EFFECT_POP|U,0.00022722880045572837,-0.00012614409128824388,0.0005850632985432945,0.022722880045572838,-0.012614409128824389,0.05850632985432945,unresolved,
P_ZERO_Q_ZERO|H_BG_EFFECT_POP|U40,-0.0023345947265625,-0.0059740702311197914,0.001290321350097651,-0.23345947265625,-0.5974070231119791,0.1290321350097651,unresolved,
P_ZERO_Q_HALF|F_BG_SWITCH|D40,0.138916015625,0.101397705078125,0.1742390950520833,13.8916015625,10.1397705078125,17.42390950520833,positive,4.4453125
P_ZERO_Q_HALF|F_BG_STAY|D40,8.138020833333333e-05,-0.012125651041666666,0.013671875,0.008138020833333332,-1.2125651041666665,1.3671875,unresolved,0.0026041666666666665
P_ZERO_Q_HALF|F_BG_EFFECT|D40,0.13883463541666666,0.100579833984375,0.17790527343749996,13.883463541666666,10.0579833984375,17.790527343749996,positive,4.442708333333333
P_ZERO_Q_HALF|H_BG_SWITCH|D40,-0.03125,-0.03125,-0.03125,-3.125,-3.125,-3.125,negative,-1.0
P_ZERO_Q_HALF|H_BG_STAY|D40,0.021728515625,0.001544189453125,0.04272867838541664,2.1728515625,0.1544189453125,4.272867838541664,positive,0.6953125
P_ZERO_Q_HALF|H_BG_EFFECT|D40,-0.052978515625,-0.07397867838541666,-0.03279418945312501,-5.2978515625,-7.397867838541666,-3.279418945312501,negative,-1.6953125
P_ZERO_Q_HALF|F_BG_SWITCH_POP|U,0.6194295883178711,0.6179362948735555,0.6208509031931557,61.94295883178711,61.79362948735555,62.08509031931557,positive,
P_ZERO_Q_HALF|F_BG_SWITCH_POP|U40,0.6241709391276041,0.6153841654459635,0.6333833694458008,62.417093912760414,61.53841654459635,63.33833694458008,positive,
P_ZERO_Q_HALF|F_BG_STAY_POP|U,0.617972183227539,0.6165987078348794,0.6193314456939698,61.7972183227539,61.65987078348793,61.93314456939698,positive,
P_ZERO_Q_HALF|F_BG_STAY_POP|U40,0.61895751953125,0.6116498311360677,0.6275680541992187,61.895751953125,61.16498311360677,62.75680541992187,positive,
P_ZERO_Q_HALF|F_BG_EFFECT_POP|U,0.001457405090332032,0.0007026227315266951,0.0022958517074584965,0.14574050903320318,0.0702622731526695,0.22958517074584966,positive,
P_ZERO_Q_HALF|F_BG_EFFECT_POP|U40,0.005213419596354167,0.0013121922810872396,0.009424908955891926,0.5213419596354167,0.13121922810872397,0.9424908955891925,positive,
P_ZERO_Q_HALF|H_BG_SWITCH_POP|U,0.6296246846516925,0.6270724376042682,0.6325921964645386,62.96246846516925,62.70724376042682,63.25921964645386,positive,
P_ZERO_Q_HALF|H_BG_SWITCH_POP|U40,0.6414540608723959,0.6240435918172201,0.6587228775024414,64.14540608723959,62.404359181722015,65.87228775024414,positive,
