key,mean,low,high,mean_pp,low_pp,high_pp,classification,count_unit,mean_count,low_count,high_count
CONT|D1,-0.006184895833333333,-0.009928385416666666,-0.002113850911458344,-0.6184895833333333,-0.9928385416666666,-0.21138509114583443,negative,expected_descendants,-0.19791666666666666,-0.3177083333333333,-0.06764322916666701
CONT|D40,-0.030598958333333332,-0.03125,-0.029459635416666668,-3.059895833333333,-3.125,-2.945963541666667,negative,expected_descendants,-0.9791666666666666,-1.0,-0.9427083333333334
PULSE_MINUS_STAY|U1,-0.00023651123046875,-0.0005315144856770834,3.058115641276007e-05,-0.023651123046875,-0.053151448567708336,0.003058115641276007,unresolved,,,,
PULSE_MINUS_STAY|U_LATE,5.171034071180478e-05,-0.00048624837500417024,0.0006311758970602944,0.005171034071180478,-0.048624837500417024,0.06311758970602944,unresolved,,,,
PULSE_MINUS_STAY|U40,0.00037384033203125,-0.0024668375651041665,0.0033552169799804642,0.037384033203125,-0.24668375651041666,0.33552169799804643,unresolved,expected_matching_bits,0.3828125,-2.5260416666666665,3.4357421874999954
PULSE_MINUS_STAY|U_ALL,4.450480143229282e-05,-0.00048278649648030605,0.0006095647811889645,0.004450480143229282,-0.04827864964803061,0.06095647811889645,unresolved,,,,
PULSE_MINUS_STAY|D1,-0.007242838541666667,-0.010416666666666666,-0.003662109375,-0.7242838541666667,-1.0416666666666665,-0.3662109375,negative,expected_descendants,-0.23177083333333334,-0.3333333333333333,-0.1171875
PULSE_MINUS_STAY|D40,-0.0234375,-0.04736531575520833,0.0005737304687499778,-2.34375,-4.736531575520833,0.05737304687499778,unresolved,expected_descendants,-0.75,-1.5156901041666666,0.01835937499999929
CONT_MINUS_STAY|U1,-0.00023651123046875,-0.0005315144856770834,3.058115641276007e-05,-0.023651123046875,-0.053151448567708336,0.003058115641276007,unresolved,,,,
CONT_MINUS_STAY|U_LATE,0.00023990207248263695,-0.00044885130010098747,0.0009658161391559806,0.023990207248263694,-0.044885130010098744,0.09658161391559805,unresolved,,,,
CONT_MINUS_STAY|U40,0.00099945068359375,-0.0030417760213216146,0.00537115732828776,0.099945068359375,-0.30417760213216144,0.537115732828776,unresolved,expected_matching_bits,1.0234375,-3.1147786458333333,5.500065104166667
CONT_MINUS_STAY|U_ALL,0.00022799173990885614,-0.0004440911610921176,0.0009386142094929997,0.022799173990885616,-0.044409116109211756,0.09386142094929997,unresolved,,,,
CONT_MINUS_STAY|D1,-0.007242838541666667,-0.010416666666666666,-0.003662109375,-0.7242838541666667,-1.0416666666666665,-0.3662109375,negative,expected_descendants,-0.23177083333333334,-0.3333333333333333,-0.1171875
CONT_MINUS_STAY|D40,-0.053385416666666664,-0.07300008138020833,-0.03498738606770837,-5.338541666666666,-7.300008138020833,-3.498738606770837,negative,expected_descendants,-1.7083333333333333,-2.3360026041666666,-1.1195963541666678
PULSE_MINUS_CONT|U1,0.0,0.0,0.0,0.0,0.0,0.0,structural_zero,,,,
PULSE_MINUS_CONT|U_LATE,-0.00018819173177083218,-0.0006135321071005193,0.00023371867644480642,-0.018819173177083218,-0.061353210710051925,0.023371867644480643,unresolved,,,,
PULSE_MINUS_CONT|U40,-0.0006256103515625,-0.002581659952799479,0.0012436548868815101,-0.06256103515625,-0.25816599527994794,0.12436548868815102,unresolved,expected_matching_bits,-0.640625,-2.6436197916666666,1.2735026041666664
PULSE_MINUS_CONT|U_ALL,-0.00018348693847656332,-0.0005981938044230197,0.00022787570953369042,-0.018348693847656333,-0.05981938044230197,0.022787570953369043,unresolved,,,,
PULSE_MINUS_CONT|D1,0.0,0.0,0.0,0.0,0.0,0.0,structural_zero,expected_descendants,0.0,0.0,0.0
PULSE_MINUS_CONT|D40,0.029947916666666668,0.0146484375,0.04687906901041664,2.994791666666667,1.46484375,4.687906901041664,positive,expected_descendants,0.9583333333333334,0.46875,1.5001302083333325
